Tweet,Years,Tweet Length,Lemmatized,Tweets with no Stopwords,Short Tweets
oh man       in like flynn    what a crack up                                                                                                                                                                                                                #metoo #sooriginal #edgy    https   t co skkhvd fss,2017,304,oh man in like flynn what a crack up #metoo #sooriginal #edgy http t co skkhvd f,oh man like flynn crack #metoo #sooriginal #edgy http co skkhvd f,man like flynn crack #metoo #sooriginal #edgy http skkhvd
ah     no   but i must admit                                                                                                                                                                                                                                                                                                             #trumptrain #sweden    https   t co ckmynymtsk,2017,375,ah no but i must admit #trumptrain #sweden http t co ckmynymtsk,ah must admit #trumptrain #sweden http co ckmynymtsk,must admit #trumptrain #sweden http ckmynymtsk
most                                             like                                                                         for                                                      #metoo https   t co en  lcew x                                                                      ,2017,283,most like for #metoo http t co en lcew x,like #metoo http co en lcew x,like #metoo http lcew
                                                                                                                                                                                      that was #awesome #maga #breaking #fridayfeeling #roymooreforsenate #metoo    https   t co k mjvgxrla,2017,283,that be #awesome #maga #break #fridayfeeling #roymooreforsenate #metoo http t co k mjvgxrla,#awesome #maga #break #fridayfeeling #roymooreforsenate #metoo http co k mjvgxrla,#awesome #maga #break #fridayfeeling #roymooreforsenate #metoo http mjvgxrla
   thank        you                                                                                                                                                              #metoo              #silencebreakers                                                                      https   t co z xwbeocmk,2017,306,thank you #metoo #silencebreakers https t co z xwbeocmk,thank #metoo #silencebreakers https co z xwbeocmk,thank #metoo #silencebreakers https xwbeocmk
                                                                                                                                                                                                                                             #metoo you changed the deadly course                                                                                                                                   ,2017,404,#metoo you change the deadly course,#metoo change deadly course,#metoo change deadly course
                                                                                                                                                                                                                                           #metoo you changed the deadly course                                                                                                                  https   t co aii tbjw b,2017,408,#metoo you change the deadly course http t co aii tbjw b,#metoo change deadly course http co aii tbjw b,#metoo change deadly course http aii tbjw
                        #f   lt ing moron                                                                                           amp  ignorant family                                                                                     https   t co  cvxpjmzyj    https   t co yzbhnqpyxu,2017,287,#f lt ing moron amp ignorant family http t co cvxpjmzyj http t co yzbhnqpyxu,#f lt ing moron amp ignorant family http co cvxpjmzyj http co yzbhnqpyxu,ing moron amp ignorant family http cvxpjmzyj http yzbhnqpyxu
                                                                                                                  a r g h                                                                                                                                                                                                                                                                                                                                                                                                                                  https   t co ugfka ihhx,2017,562,a r g h http t co ugfka ihhx,r g h http co ugfka ihhx,http ugfka ihhx
yes  #metoo proud of her                                                                                                                                                                                                               get them girl we   re behind you  https   t co kfsbzevlng,2017,288,yes #metoo proud of her get them girl we re behind you https t co kfsbzevlng,yes #metoo proud get girl behind https co kfsbzevlng,yes #metoo proud get girl behind https kfsbzevlng
            me too                         #metoo                                                                                                                                                                                                                                                                        https   t co iin scg gr,2017,336,me too #metoo https t co iin scg gr,#metoo https co iin scg gr,#metoo https iin scg
            me too                         #metoo                                                                                                                                                                                                                                                                        https   t co mm tdo mlx,2017,336,me too #metoo https t co mm tdo mlx,#metoo https co mm tdo mlx,#metoo https tdo mlx
                                                                                                                                                                                     #daca #metoo #depoationcaucus #wintersoltice  watching bill clinton on illegal imm    https   t co ms r zmrpd,2017,290,#daca #metoo #depoationcaucus #wintersoltice watch bill clinton on illegal imm http t co m r zmrpd,#daca #metoo #depoationcaucus #wintersoltice watch bill clinton illegal imm http co r zmrpd,#daca #metoo #depoationcaucus #wintersoltice watch bill clinton illegal imm http zmrpd
                                                                                                                                                                                                                                                 #wiunion #wiright #wipolitics #democrats #demonicrats #pervesinc #metoo    https   t co  qlfhjwgek,2017,339,#wiunion #wiright #wipolitics #democrat #demonicrats #pervesinc #metoo http t co qlfhjwgek,#wiunion #wiright #wipolitics #democrat #demonicrats #pervesinc #metoo http co qlfhjwgek,#wiunion #wiright #wipolitics #democrat #demonicrats #pervesinc #metoo http qlfhjwgek
